title,release_year,title_and_year,getIMDBNumber,imdb_lookup,duration_minutes,toots,tpm,watched_date,is_double_feature,getRated,rated,getGenre,genre,getDirector,director,getActors,actors,getAwards,awards,getMetascore,metascore,getIMDBScore,imdb_score,getRealBoxOffice,real_box_office,attendees,event_toots,unique_servers,total_favorites,total_boosts,total_replies,engagement_score,participation_score
The Man Who Could Cheat Death,1959,The Man Who Could Cheat Death (1959),,tt0053041,83,210,2.530120482,2026-06-21 22:38:00,True,Approved,Approved,"Drama, Horror, Sci-Fi","Drama, Horror, Sci-Fi",Terence Fisher,Terence Fisher,"Anton Diffring, Hazel Court, Christopher Lee",Terence Fisher,0.0,0.0,-1.0,-1,6.3,6.3,-1.0,-1.0,29.0,295.0,23.0,0.0,159.0,140.0,0.5389830508474577,15.655172413793103
End of the World,1977,End of the World (1977),,tt0075990,88,2940,33.40909091,2026-06-21 21:00:00,False,PG,PG,"Horror, Mystery, Sci-Fi","Horror, Mystery, Sci-Fi",John Hayes,John Hayes,"Christopher Lee, Sue Lyon, Kirk Scott",John Hayes,0.0,0.0,-1.0,-1,3.1,3.1,-1.0,-1.0,117.0,2828.0,67.0,0.0,1370.0,1636.0,0.46598639455782315,36.837606837606835
"Gappa, the Triphibian Monster",1967,"Gappa, the Triphibian Monster (1967)",,tt0061550,84,249,2.964285714,2026-06-14 22:30:00,True,PG,PG,"Action, Adventure, Comedy","Action, Adventure, Comedy",Hiroshi Noguchi,Hiroshi Noguchi,"Tamio Kawaji, Yôko Yamamoto, Yûji Odaka","Tamio Kawaji, Yôko Yamamoto, Yûji Odaka",0.0,0.0,-1.0,-1,4.4,4.4,-1.0,-1.0,48.0,360.0,31.0,0.0,177.0,153.0,0.49166666666666664,11.1875
In the Year 2889,1969,In the Year 2889 (1969),,tt0060536,80,2987,37.3375,2026-06-14 21:00:00,False,UR,UR,"Horror, Sci-Fi, Thriller","Horror, Sci-Fi, Thriller",Larry Buchanan,Larry Buchanan,"Paul Petersen, Quinn O'Hara, Charla Doherty","Paul Petersen, Quinn O'Hara, Charla Doherty",0.0,0.0,-1.0,-1,2.9,2.9,-1.0,-1.0,120.0,2828.0,73.0,0.0,1390.0,1602.0,0.46534984934717105,36.475
Class of 1999 II: The Substitute,1994,Class of 1999 II: The Substitute (1994),,tt0109442,87,286,3.287356322,2026-06-07 22:49:00,True,R,R,"Action, Horror, Sci-Fi","Action, Horror, Sci-Fi",Spiro Razatos,Spiro Razatos,"Sasha Mitchell, Caitlin Dulany, Nick Cassavetes","Sasha Mitchell, Caitlin Dulany, Nick Cassavetes",0.0,0.0,-1.0,-1,4.3,4.3,-1.0,-1.0,33.0,351.0,22.0,0.0,121.0,175.0,0.3447293447,14.3030303
Class of 1999,1990,Class of 1999 (1990),,tt0099277,99,2132,21.53535354,2026-06-07 21:00:00,False,R,R,"Action, Horror, Sci-Fi","Action, Horror, Sci-Fi",Mark L. Lester,Mark L. Lester,"Bradley Gregg, Traci Lind, Malcolm McDowell","Bradley Gregg, Traci Lind, Malcolm McDowell",0.01,0.01,33.0,33,5.9,5.9,6220315.97,6220315.97,101.0,2080.0,67.0,0.0,1102.0,1140.0,0.5168855535,32.01980198
Waxwork II: Lost in Time,1992,Waxwork II: Lost in Time (1992),,tt0105792,104,488,4.692307692,2026-05-31 22:37:00,True,R,R,"Comedy, Fantasy, Horror","Comedy, Fantasy, Horror",Anthony Hickox,Anthony Hickox,"Zach Galligan, Monika Schnarre, Martin Kemp","Zach Galligan, Monika Schnarre, Martin Kemp",0.0,0.0,-1.0,-1,5.4,5.4,-1.0,-1.0,26.0,493.0,19.0,468.0,156.0,219.0,1.265720081,42.96153846
Seedpeople,1992,Seedpeople (1992),,tt0105347,87,2249,25.85057471,2026-05-31 21:00:00,False,R,R,"Horror, Sci-Fi","Horror, Sci-Fi",Peter Manoogian,Peter Manoogian,"Sam Hennings, Andrea Roth, Dane Witherspoon","Sam Hennings, Andrea Roth, Dane Witherspoon",0.0,0.0,-1.0,-1,4.4,4.4,-1.0,-1.0,115.0,2245.0,75.0,2392.0,1005.0,1325.0,1.510449088,49.09565217
Waxwork,1988,Waxwork (1988),,tt0096426,97,248,2.556701031,2026-05-24 22:47:00,True,R,R,"Comedy, Horror","Comedy, Horror",Anthony Hickox,Anthony Hickox,"Zach Galligan, Deborah Foreman, Jennifer Bassey","Zach Galligan, Deborah Foreman, Jennifer Bassey",2.04,2.04,41.0,41,6.1,6.1,2257664.22,2257664.22,30.0,388.0,23.0,512.0,169.0,155.0,1.755154639,35.63333333
Terror in the Wax Museum,1973,Terror in the Wax Museum (1973),,tt0070783,93,1984,21.33333333,2026-05-24 21:00:00,False,PG,PG,"Horror, Mystery","Horror, Mystery",Georg Fenady,Georg Fenady,"Ray Milland, Elsa Lanchester, Maurice Evans","Ray Milland, Elsa Lanchester, Maurice Evans",0.01,0.01,-1.0,-1,5.0,5.0,-1.0,-1.0,102.0,1850.0,59.0,2244.0,996.0,930.0,1.633064516,51.21568627
They Came from Beyond Space,1967,They Came from Beyond Space (1967),,tt0062360,85,175,2.058823529,2026-05-17 22:47:00,True,UR,UR,"Adventure, Sci-Fi","Adventure, Sci-Fi",Freddie Francis,Freddie Francis,"Robert Hutton, Jennifer Jayne, Zia Mohyeddin","Robert Hutton, Jennifer Jayne, Zia Mohyeddin",0.0,0.0,-1.0,-1,4.5,4.5,-1.0,-1.0,27.0,277.0,23.0,226.0,130.0,79.0,1.285198556,23.44444444
Invasion: UFO,1980,Invasion: UFO (1980),,tt0216312,97,3204,33.03092784,2026-05-17 21:00:00,False,NR,NR,"Action, Drama, Sci-Fi","Action, Drama, Sci-Fi","Gerry Anderson, Cyril Frankel, Jeremy Summers","Gerry Anderson, Cyril Frankel, Jeremy Summers","Ed Bishop, Michael Billington, Gabrielle Drake","Ed Bishop, Michael Billington, Gabrielle Drake",0.0,0.0,-1.0,-1,5.7,5.7,-1.0,-1.0,139.0,3104.0,85.0,2995.0,1452.0,1669.0,1.387952559,55.04316547
"Yongary, Monster from the Deep",1967,"Yongary, Monster from the Deep (1967)",,tt0061549,79,317,4.012658228,2026-05-10 22:48:00,True,PG,PG,"Adventure, Drama, Fantasy","Adventure, Drama, Fantasy",Kim Ki-duk,Kim Ki-duk,"Yeong-il Oh, Jeong-im Nam, Lee Soon-jae","Yeong-il Oh, Jeong-im Nam, Lee Soon-jae",0.0,0.0,-1.0,-1,3.8,3.8,-1.0,-1.0,41.0,366.0,29.0,483.0,160.0,160.0,1.756830601,24.6097561
Reptilian,1999,Reptilian (1999),,tt0272425,98,3069,31.31632653,2026-05-10 21:00:00,False,PG-13,PG-13,"Action, Fantasy, Sci-Fi","Action, Fantasy, Sci-Fi",Hyung-rae Shim,Hyung-rae Shim,"Richard Livingston, Harrison Young, D.J. Robbins","Richard Livingston, Harrison Young, D.J. Robbins",0.01,0.01,-1.0,-1,2.7,2.7,-1.0,-1.0,115.0,3085.0,67.0,3271.0,1316.0,1737.0,1.486871961,66.71304348
Silver Bullet,1985,Silver Bullet (1985),,tt0090021,95,2754,28.98947368,2026-05-03 21:00:00,False,R,R,Horror,Horror,Daniel Attias,Daniel Attias,"Gary Busey, Everett McGill, Corey Haim","Gary Busey, Everett McGill, Corey Haim",0.02,0.02,26.0,26,6.4,6.4,37970229.67,37970229.67,124.0,2701.0,68.0,2884.0,2282.0,1490.0,1.875816993,63.87096774
Hercules Returns,1993,Hercules Returns (1993),,tt0107103,82,135,1.646341463,2026-04-26 22:42:00,True,NR,NR,Comedy,Comedy,David Parker,David Parker,"David Argue, Michael Carman, Mary Coustas","David Argue, Michael Carman, Mary Coustas",0.01,0.01,-1.0,-1,7.3,7.3,-1.0,-1.0,35.0,240.0,27.0,213.0,154.0,93.0,1.529166667,17.34285714
Hercules in New York,1970,Hercules in New York (1970),,tt0065832,92,2795,30.38043478,2026-04-26 21:00:00,False,G,G,"Adventure, Comedy, Fantasy","Adventure, Comedy, Fantasy",Arthur Allan Seidelman,Arthur Allan Seidelman,"Arnold Stang, Arnold Schwarzenegger, Deborah Loomis","Arnold Stang, Arnold Schwarzenegger, Deborah Loomis",0.0,0.0,23.0,23,3.3,3.3,-1.0,-1.0,128.0,2661.0,73.0,2560.0,1719.0,1436.0,1.530948122,55.265625
Earth Girls Are Easy,1988,Earth Girls Are Easy (1988),tt0097257,tt0097257,100,313,3.13,2026-04-19 22:53:00,True,PG,PG,"Comedy, Musical, Romance","Comedy, Musical, Romance",Julien Temple,Julien Temple,"Geena Davis, Jeff Goldblum, Jim Carrey","Geena Davis, Jeff Goldblum, Jim Carrey",0.03,0.03,66.0,66,5.5,5.5,10941150.82,10941150.82,37.0,261.0,25.0,261.0,100.0,106.0,1.153354633,18.21621622
Communion,1989,Communion (1989),,tt0097100,103,2980,28.93203883,2026-04-19 21:00:00,False,R,R,"Biography, Drama, Horror","Biography, Drama, Horror","Biography, Drama, Horror",Philippe Mora,"Christopher Walken, Lindsay Crouse, Frances Sternhagen","Christopher Walken, Lindsay Crouse, Frances Sternhagen",0.01,0.01,-1.0,-1,5.5,5.5,5116494.49,5116494.49,124.0,2752.0,69.0,4531.0,1523.0,1633.0,2.031543624,72.85483871
Son of Dracula,1974,Son of Dracula (1974),,tt0072189,90,339,3.766666667,2026-04-12 22:27:00,True,,PG,,"Comedy, Fantasy, Horror",,Freddie Francis,,"Harry Nilsson, Ringo Starr, Freddie Jones",,0.0,,-1,,4.2,,-1.0,51.0,309.0,33.0,352.0,184.0,125.0,1.581120944,17.15686275
Son of Dracula,1943,Son of Dracula (1943),,tt0036376,77,2536,32.93506494,2026-04-12 21:00:00,False,,Approved,,"Drama, Fantasy, Horror",,Robert Siodmak,,"Lon Chaney Jr., Robert Paige, Louise Allbritton",,1.0,,47,,6.1,,-1.0,124.0,2053.0,72.0,3931.0,1533.0,1117.0,2.154574132,64.51612903
The Monster That Challenged the World,1957,The Monster That Challenged the World (1957),,tt0050722,84,2857,34.01190476,2026-04-05 21:00:00,False,,Approved,,"Horror, Sci-Fi, Thriller",,Arnold Laven,,"Tim Holt, Audrey Dalton, Hans Conried",,0.01,,-1,,5.7,,-1.0,127.0,2769.0,67.0,4156.0,1939.0,1451.0,2.133356668,70.48818898
Critters 4,1992,Critters 4 (1992),,tt0101628,87,2550,29.31034483,2026-03-29 21:00:00,False,,PG-13,,"Horror, Sci-Fi",,Rupert Harvey,,"Don Keith Opper, Terrence Mann, Paul Whitthorne",,0.0,,-1,,4.1,,-1.0,98.0,2249.0,56.0,3032.0,1132.0,1247.0,1.632941176,68.51020408
Kazaam,1996,Kazaam (1996),,tt0116756,94,281,2.989361702,2026-03-22 22:55:00,True,,PG,,"Comedy, Family, Fantasy",,Paul Michael Glaser,,"Shaquille O'Neal, Francis Capra, Ally Walker",,0.02,,24,,3.1,,39890153.54,32.0,253.0,23.0,402.0,174.0,82.0,2.049822064,26.78125
The Golden Voyage of Sinbad,1973,The Golden Voyage of Sinbad (1973),,tt0071569,105,3289,31.32380952,2026-03-22 21:00:00,False,,G,,"Action, Adventure, Fantasy",,Gordon Hessler,,"John Phillip Law, Caroline Munro, Tom Baker",,3.0,,69,,6.8,,-1.0,127.0,2831.0,70.0,3723.0,1939.0,1169.0,1.721495895,70.48031496
"The Beast from 20,000 Fathoms",1953,"The Beast from 20,000 Fathoms (1953)",,tt0045546,80,289,3.6125,2026-03-15 22:54:00,True,,Approved,,"Horror, Sci-Fi",,Eugène Lourié,,"Paul Hubschmid, Paula Raymond, Cecil Kellaway",,0.02,,-1,,6.6,,-1.0,35.0,256.0,24.0,355.0,147.0,87.0,1.737024221,22.6
Jason and the Argonauts,1963,Jason and the Argonauts (1963),,tt0057197,104,2784,26.76923077,2026-03-15 21:00:00,False,,G,,"Action, Adventure, Family",,Don Chaffey,,"Todd Armstrong, Nancy Kovack, Gary Raymond",,0.0,,69,,7.3,,-1.0,116.0,2457.0,65.0,3843.0,1552.0,1265.0,1.937859195,70.50862069
Godzilla 1977,1977,Godzilla 1977 (1977),,tt1543211,96,254,2.645833333,2026-03-08 22:38:00,True,,TV-MA,,"Action, Horror, Sci-Fi",,"Luigi Cozzi, Ishirô Honda, Terry O. Morse",,"Raymond Burr, Akira Takarada, Akihiko Hirata",,0.0,,-1,,5.2,,-1.0,28.0,194.0,19.0,299.0,135.0,98.0,1.708661417,24.57142857
The Adventures of Hercules,1985,The Adventures of Hercules (1985),,tt0089271,88,3577,40.64772727,2026-03-08 21:00:00,False,,PG,,"Adventure, Fantasy",,Luigi Cozzi,,"Lou Ferrigno, Milly Carlucci, Sonia Viviani",,0.0,,-1,,3.9,,-1.0,103.0,2874.0,62.0,2910.0,1640.0,1452.0,1.272015656,78.90291262
The Seven Magnificent Gladiators,1983,The Seven Magnificent Gladiators (1983),,tt0086289,100,363,3.63,2026-03-01 22:48:00,True,,PG,,"Action, Adventure, Drama",,"Bruno Mattei, Claudio Fragasso",,"Lou Ferrigno, Sybil Danning, Brad Harris",,0.0,,-1,,3.7,,-1.0,42.0,300.0,29.0,496.0,293.0,165.0,2.173553719,27.42857143
Hercules,1983,Hercules (1983),,tt0085672,98,3967,40.47959184,2026-03-01 21:00:00,False,,PG,,"Adventure, Fantasy, History",,Luigi Cozzi,,"Lou Ferrigno, Brad Harris, Sybil Danning",,2.03,,-1,,4.1,,35426527.28,126.0,3169.0,70.0,3298.0,1684.0,1789.0,1.255860852,71.02380952
The Flesh and the Fiends,1960,The Flesh and the Fiends (1960),,tt0052811,94,199,2.117021277,2026-02-22 22:32:00,True,,UR,,"Crime, Drama, Thriller",,John Gilling,,"Peter Cushing, June Laverick, Donald Pleasence",,0.0,,-1,,6.9,,-1.0,36.0,147.0,27.0,283.0,102.0,72.0,1.934673367,16.22222222
Dr. Who and the Daleks,1965,Dr. Who and the Daleks (1965),,tt0059126,82,2807,34.23170732,2026-02-22 21:00:00,False,,NR,,"Adventure, Drama, Sci-Fi",,Gordon Flemyng,,"Peter Cushing, Roy Castle, Jennie Linden",,0.0,,-1,,5.6,,-1.0,125.0,2311.0,73.0,3819.0,1410.0,1177.0,1.862842893,64.288
Master of Horror,1965,Master of Horror (1965),,tt1503643,60,240,4.0,2026-02-15 22:35:00,True,,GP,,Horror,,Enrique Carreras,,"Narciso Ibáñez Menta, Osvaldo Pacheco, Inés Moreno",,0.0,,-1,,6.1,,-1.0,37.0,154.0,23.0,303.0,101.0,88.0,1.683333333,17.40540541
